qty	title
4	100 BULLETS TP VOL 12 DIRTY (MR)
1	100 Bullets Vol. 7: Samurai
1	20000 LEAGUES UNDER THE SEA POP-UP GN
1	2020 Visions
1	24 Hour Comics Day Highlights 2004
1	24 SEVEN GN
1	32 Stories : The Complete Optic Nerve Mini-Comics
2	52 AFTERMATH THE FOUR HORSEMEN TP
1	A Penny Dreadful
1	ABE SAPIEN TP VOL 01 THE DROWNING
2	Abraham Lincoln: The Life Of America's 16th President
1	ABSOLUTE BATMAN THE LONG HALLOWEEN HC
1	ABSOLUTE LOEG THE BLACK DOSSIER HC
2	ABSOLUTE RONIN HC
2	ABSOLUTE SANDMAN VOL 2 HC
1	ACHEWOOD THE GREAT OUTDOOR FIGHT HC
1	ACME NOVELTY DATEBOOK VOL 2 HC
1	ADAM STRANGE PLANET HEIST TP
1	Adastra in Africa
2	ADVENTURES IN THE RIFLE BRIGADE TP
1	Adventures of Barry Ween Boy Genius 2.0
1	African Myths (Graphic Mythology)
1	AFTERWORKS VOL 1 GN
1	AFTERWORKS VOL 2 GN
1	AGAINST PAIN HC
1	Al Capp's Complete Shmoo: The Comic Books
1	Al Williamson: Hidden Lands
1	ALAN MOORE THE COMPLETE WILDCATS TP
1	ALAN MOORE WILD WORLDS TP
1	ALAN MOORES A SMALL KILLING TP
1	ALCOHOLIC HC (MR)
1	Alex Toth Reader V.2
1	ALIAS THE CAT GN
6	ALIAS VOL 1 TP
3	ALIAS VOL 2 COME HOME TP
2	ALIAS VOL 3 THE UNDERNEATH TP
1	Alice In Sunderland
2	Alien Legion Piecemaker (Alien Legion (Checker))
1	ALIENS OMNIBUS TP VOL 03
1	ALIENS VS PREDATOR OMNIBUS VOL 1 TP
1	ALIENS VS PREDATOR OMNIBUS VOL 2 TP
1	Aliens: Book One HC (Aliens)
1	Aliens: Book One TPB (Aliens)
1	All Riot On The Western Front
1	ALPHA FLIGHT CLASSIC VOL 1 TP
1	AMAZING FANTASY OMNIBUS VOL 1 HC
2	AMAZING REMARKABLE MONSIEUR LEOTARD SC
1	AMAZING SPIDER-MAN OMNIBUS VOL 1 HC VAR ED
1	AMAZING TRANSFORMATIONS OF JIMMY OLSEN TP
3	AMERICAN BORN CHINESE COLLECTORS ED HC
1	AMERICAN SPLENDOR ANOTHER DAY TP (MR)
1	American Splendor Presents: Bob & Harv's Comics
1	American Splendor: The Life and Times of Harvey Pekar
1	American Splendor: Unsung Hero
1	AMERICAN VIRGIN VOL 2 GOING DOWN TP (MR)
1	AMERICAN VIRGIN VOL 3 WET TP (MR)
1	AMERICAS BEST COMICS TP
1	AMOR Y COHETES SC
1	An Anthology of Graphic Fiction, Cartoons, and True Stories
1	An Insupportable Light
1	Anarchy For The Masses : The Disinformation Guide to The Inv
1	ANDROMEDA STORIES GN VOL 01
1	ANGEL AFTER THE FALL HC VOL 01
2	ANGEL AFTER THE FALL HC VOL 02 FIRST NIGHT
1	ANGEL THE CURSE TP
2	ANIMAL MAN VOL 2 ORIGIN OF THE SPECIES TP
1	ANITA BLAKE VH GUILTY PLEASURES TP VOL 01
1	ANNIHILATION CONQUEST HC BOOK 1
1	ANNIHILATION CONQUEST TP BOOK 01
1	ANTHOLOGY OF GRAPHIC FICTION HC VOL 02
2	APOCALYPSE NERD TP
1	APPLESEED ID TP
1	APPLESEED VOL 1 PROMETHEAN CHALLENGE TP NEW PTG (C: 0-1-2)
1	AQUAMAN ARCHIVES VOL 1 HC
1	AQUAMAN SWORD OF ATLANTIS ONCE AND FUTURE TP
1	ARCHIE AMERICANA SER TP VOL 08 BEST OF 60S BOOK 2
1	ARIA VOL 3 USES OF ENCHANTMENT TP
1	ARROWSMITH SO SMART IN THEIR FINE UNIFORMS TP
1	ART OF BRIAN BOLLAND HC
2	ART OF MARVEL VOL 2 HC
1	ART OF P CRAIG RUSSELL HC SGN ED
1	ART OF S CLAY WILSON HC
1	ARTISTIC ANATOMY 35TH ANNIVERSARY ED
1	Assorted Foxtrot
1	Astro Boy Volumes 1 & 2
1	ASTRO CITY THE DARK AGE HC BOOK 01
1	Athena Inc. Volume 1: Manhunter Project
1	Atlas of DC Universe (DC Heroes RPG)
1	ATOM ARCHIVES VOL 1 HC
1	ATOMIC ROBO TP VOL 01
1	Attack Of The Political Cartoonists: Insights And Assaults F
1	Attitude: The New Subversive Political Cartoonists
2	AUTHORITY LOBO HOLIDAY HELL TP (MR)
1	AUTHORITY REVOLUTION BOOK 1 TP
1	AVENGERS ABOVE AND BEYOND TP
1	AVENGERS GALACTIC STORM VOL 2 TP
1	AVENGERS WEST COAST VISION QUEST TP
1	Avengers: The Initiative, Vol. 1: Basic Training
1	AYA OF YOP CITY HC  (MR)
1	B. Krigstein, Volume 1
1	Bacchus Book 10 - Banged Up
1	Bacchus Book Five - Earth, Water, Air and Fire
1	BAD BOY 10TH ANN HC MILLER CVR
1	BAD COMPANY GOODBYE KROOL WORLD TP
2	Bagel's Lucky Hat
1	BAKERS BABIES & KITTENS HC
1	BALLAD OF HALO JONES TP
1	BARDIN THE SURREALIST HC
1	Barry Windsor-Smith: Opus Vol. 1
2	BATMAN AND SON TP
1	BATMAN BLACK AND WHITE TP VOL 03
1	BATMAN BLACK AND WHITE VOL 3 HC
1	BATMAN CHRONICLES VOL 1 TP
1	BATMAN CHRONICLES VOL 3 TP
1	BATMAN CHRONICLES VOL 4 TP
1	Batman Collected
1	BATMAN COVER TO COVER HC
1	BATMAN EGO AND OTHER TALES HC
1	BATMAN EVOLUTION TP
1	BATMAN FACE THE FACE TP
1	BATMAN FACES NEW ED TP
1	BATMAN GOTHIC TP NEW EDITION
1	BATMAN GRENDEL TP
1	BATMAN HARLEY AND IVY TP
1	BATMAN HAUNTED KNIGHT TP
1	BATMAN HUNTRESS CRY FOR BLOOD TP
1	BATMAN HUSH RETURNS TP
1	BATMAN IN THE EIGHTIES TP
1	BATMAN IN THE FORTIES TP
1	BATMAN NO MANS LAND VOL 2 TP
1	BATMAN SECRETS OF THE BATCAVE TP
1	BATMAN SNOW TP
1	BATMAN STRIKES VOL 1 CRIME TIME TP
1	BATMAN SUNDAY CLASSICS 1943-1946 HC
1	BATMAN THE BLACK GLOVE HC
1	BATMAN THE DAILIES 1943-1946 HC
1	Batman The Dynamic Duo Archives, Vol. 1
1	BATMAN THE RESURRECTION OF RAS AL GHUL HC
1	Batman: Dark joker-the wild
1	Batman: Gotham by Gaslight
1	Batman: The Ultimate Guide to the Dark Knight
1	BATTLE POPE COLOR VOL 1 GENESIS TP (MR)
1	BATTLE POPE VOL 3 TP PILLOW TALK (MR)
1	BATTLE ROYALE ULTIMATE ED HV VOL 01
1	BATTLESTAR GALACTICA VOL 1 REG ED TP
1	BEETLE BAILEY BY MORT WALKER HC VOL 01
1	Below Critical Radar: Fanzines and Alternative Comics From 1
1	BENNY AND PENNY JUST PRETEND HC
1	BERLIN TP BOOK 02 CITY OF SMOKE (MR)
1	BERSERK VOL 15 TP
1	BERSERK VOL 17 TP
1	BERSERK VOL 19 TP
1	Berserk Volume 5
1	Berserk Volume 6
1	Berserk Volume 7
1	Berserk Volume 8
1	BEST OF CURSE O/T SPAWN TP
2	Beyond Palomar: A Love and Rockets Book (Love and Rockets (G
1	BIG BOOK OF SCANDAL (MR)
1	BIRDS OF PREY BLOOD AND CIRCUITS TP
1	BIRDS OF PREY OF LIKE MINDS TP
1	BIRDS OF PREY SENSEI AND STUDENT TP
1	BIRDS OF PREY THE BATTLE WITHIN TP
2	Birth of a Nation : A Comic Novel
1	BIZARRO COMICS HC
1	BIZARRO COMICS SC
1	BIZARRO WORLD HC
1	BIZARRO WORLD SC
1	Bizo: The Intense Art of Simon Bisley
1	Blab! Volume 12
1	BLACK DIAMOND GET IN THE CAR & GO TP
1	Black Heart Billy
1	Black Magic
1	Black Panther: Who Is The Black Panther HC (Black Panther)
2	BLACK SUMMER TP (MR)
1	BLACKHAWK ARCHIVES VOL 1 HC
1	Blacksad: The Sketch Files
1	BLADE OF THE IMMORTAL VOL 17 TP PERFECTION OF ANATOMY (MR) (
1	Blade Of The Immortal Volume 13: Mirror Of The Soul (Blade o
1	Blade of the Immortal: Cry of the Worm Vol.2
1	BLOOD A TALE TP NEW PTG
1	Blood Ties
1	BLOODY MARY TP
1	BLUE BEETLE COMPANION SC
1	BLUE BEETLE SHELLSHOCKED TP
1	BLUE BEETLE VOL 2 ROAD TRIP TP
1	Blue Monday, Vol. 4: Painted Moon
1	BLUE PILLS GN
1	BLUESMAN VOL 2 GN
1	BOMB QUEEN TP VOL 03 BOMBSHELL (MR)
1	BOMB QUEEN VOL 1 WOMAN OF MASS DESTRUCTION TP (MR)
1	BONE BOXED SET
1	BONE COLOR ED HC VOL 08 TREASURE HUNTERS
1	BOOKS OF FAERIE AUBERONS TALE TP
2	BOOKS OF MAGIC VOL 2 SUMMONINGS TP
1	BOOKS OF MAGIC VOL 7 DEATH AFTER DEATH TP
1	Books of Magick: Life During Wartime - Book #1
1	BOOSTER GOLD HC VOL 01 52 PICK UP
1	BOUNCER RAISING CANE TP
1	BRAVE AND THE BOLD VOL 1 LORDS OF LUCK HC
2	BRICKJOURNAL COMPENDIUM SC VOL 01
1	Bride of the Demon :BATMAN
1	BRIT TP VOL 02 AWOL
1	BRIT VOL 1 TP OLD SOLDIER
1	Bryan Talbot (The Library of Graphic Novelists)
1	BTVS THE DEATH OF BUFFY TP
1	BUCKAROO BANZAI VOL 1 RETURN OF THE SCREW TP
1	Buddy Bites the Bullet
1	Buddy the Dreamer
1	BUFFY THE VAMPIRE SLAYER OMNIBUS TP VOL 04
1	BURMA CHRONICLES HC (MR)
1	BUT I LIKE IT HC
1	BY THE NUMBERS VOL 1 THE ROAD TO CAO BANG
1	CABLE CLASSIC TP VOL 01
1	CABLE PREM HC VOL 01 MESSIAH WAR
1	Cadillacs and Dinosaurs
1	CAIRO SC (MR)
1	CANT GET NO SC (MR)
1	CAPTAIN AMERICA & THE FALCON SWINE TP
1	CAPTAIN AMERICA BY JACK KIRBY BICENTENNIAL BATTLES TP
1	CAPTAIN AMERICA PREM HC VOL 02 DEATH CAPT AMERICA
1	Captain America Volume 1: The New Deal TPB (Captain America)
1	Captain America Volume 3: Ice TPB (Captain America)
1	Captain America: Red, White & Blue
1	Captain America: The Classic Years, Volume 2
1	CAPTAIN MARVEL PREM HC SECRET INVASION
1	CAPTAIN MARVEL VOL 2 COVEN TP
1	CARL BARKS AND THE DISNEY COMIC BOOK SC
1	Cartoon History of the Universe 2
1	Castle Waiting Volume 1: Lucky Road
1	CATWOMAN RELENTLESS TP
1	CATWOMAN SELINAS BIG SCORE SC
1	CATWOMAN WHEN IN ROME TP
1	Catwoman: When in Rome (Batman) (Catwoman)
1	CEREBUS COLLECTED LETTERS 2004
1	Cerebus Going Home (Cerebus, Volume 13)
1	CEREBUS TP VOL 05 JAKAS STORY
1	Cerebus Vol 8 Women
1	Chad Michael Ward's Black Rust
1	CHALLENGERS OF THE UNKNOWN ARCHIVES VOL 1 HC
1	CHALLENGERS OF UNKNOWN MUST DIE TP
1	CHAOS EFFECT TP
1	CHEWING GUM IN CHURCH A YIKESCOLLECTION SC (MR)
1	CHIGGERS HC
1	Chris Ware (Monographics Series)
1	CHRONICLES OF CONAN TP VOL 15 CORRIDOR OF MULLAH KAJAR
1	CHRONICLES OF CONAN VOL 10 GIANTS WALK THE EARTH TP
1	CHRONICLES OF CONAN VOL 12 BEAST KING OF ABOMBI TP
1	CHRONICLES OF CONAN VOL 13 WHISPERING SHADOWS TP
1	CHRONICLES OF CONAN VOL 9 RIVER DRAGONS & OTHERS TP
1	Church & State I (Cerebus, Volume 3)
1	Church & State II (Cerebus, Volume 4)
1	CIVIL WAR SCRIPT BOOK TP
1	Clamp School Paranormal Investigators, Vol. 3
1	CLANDESTINE CLASSIC PREM HC
1	Classic 40 Ounce: Tales From The Broken Bag
1	CLASSIC TRANSFORMERS VOL 1TP
1	Clive Barker's Hellraiser: Collected Best III
1	Clive Barker's Tapping the Vein
1	Clyde Fans : Book-1
2	COMIC ART NOW HC
1	Comic Books and Other Necessities of Life
1	COMIC CREATORS ON X MEN SC
1	COMICS GONE APE SC
1	COMICS JOURNAL LIBRARY VOL 5 CLASSIC COMICS ILLUSTRATORS TP
1	COMICS JOURNAL LIBRARY VOL 7 HARVEY KURTZMAN TP
1	COMIX THE UNDERGROUND REVOLUTION TP
1	COMPENDIUM: STAR TREK
1	COMPLEAT MOONSHADOW TP
1	COMPLEAT NEXT MEN TP VOL 01
1	Complete Alan Moore Future Shocks
1	COMPLETE BADGER VOL 1 TP
1	COMPLETE CRUMB COMICS SC VOL 11 NEW PTG
2	Complete Crumb Comics: The Early Years of Bitter Struggle (C
1	COMPLETE DICK TRACY HC VOL 03
1	Complete Idiot's Guide to Creating a Graphic Novel
1	COMPLETE INVINCIBLE LIBRARY VOL 1 HC
1	COMPLETE JACK KIRBY VOL 1 TP
1	COMPLETE JON SABLE FREELANCE VOL 1 TP
1	COMPLETE JON SABLE FREELANCE VOL 4 TP
1	COMPLETE LITTLE ORPHAN ANNIE HC VOL 01
1	COMPLETE PEANUTS HC VOL 09 1967-1968
1	COMPLETE PEANUTS HC VOL 10 1969-1970
1	COMPLETE TERRY & THE PIRATES HC VOL 04 1941 1942
1	COMPLETE TERRY AND THE PIRATES HC VOL 03 1939-1940
1	CONAN AND THE MIDNIGHT GOD TP
1	CONAN THE PHENOMENON HC
1	CONAN TP VOL 06 THE HAND OF NERGAL
1	COSMIC ODYSSEY TP
1	COUNTDOWN TO FINAL CRISIS TP VOL 01
2	COUNTER X TP VOL 01 X-FORCE
1	Courtney Crumrin, Vol. 1: Courtney Crumrin & The Night Thing
1	Couscous Express
1	Cowboy Bebop Anime Guide Vol. 5
1	Cravan: Mystery Man of the Twentieth Century
1	CREEPER WELCOME TO CREEPVILLE TP
1	Criminal Macabre - A Cal McDonald Mystery (Dark Horse Comics
1	CRISIS ON INFINITE EARTHS ABSOLUTE EDITION HC
1	CRISIS ON MULTIPLE EARTHS THE TEAM UPS VOL 2 TP
1	CRISIS ON MULTIPLE EARTHS THETEAM UPS VOL 1 TP
1	CRISIS ON MULTIPLE EARTHS VOL 1 TP
1	CRISIS ON MULTIPLE EARTHS VOL 3 TP
1	CRISIS ON MULTIPLE EARTHS VOL4 TP
2	Crumple
1	Crypto Zoo: Volume Three of the Collected Rare Bit Fiends (C
1	CSI DYING IN THE GUTTERS TP NEW PTG
1	CSI: Crime Scene Investigation - Bad Rap (Csi: Crime Scene I
2	CSI: Miami - Thou Shalt Not
2	CSI: Miami--Smoking Gun
1	Cyberantics: A Little Adventure
1	Cybertronian Index Unofficial Recognition Guide
1	Cyborg 009, Vol. 2
1	Cyborg 009, Vol. 3
1	Cyclops: Contemporary Canadian Narrative Art
2	Daisho (Usagi Yojimbo, Book 9)
1	Dances With Sheep: A K Chronicles Compendium
1	DANGER GIRL BACK IN BLACK TP
1	DAREDEVIL BY BENDIS OMNIBUS HC VOL 1
1	DAREDEVIL TP CRUEL UNUSUAL
1	DAREDEVIL VISIONARIES FRANK MILLER VOL 2 TP
1	DAREDEVIL VISIONARIES FRANK MILLER VOL 3 TP
3	DAREDEVIL VOL 2 PARTS OF A HOLE TP
1	DAREDEVIL VOL 7 HARDCORE TP
1	DARK HORSE BOOK OF MONSTERS HC
1	DARK KNIGHT STRIKES AGAIN HC
2	DARK TOWER LONG ROAD HOME HC
1	Darklighter (Star Wars: Empire, Vol. 2) (Star Wars: Empire)
2	David Boring
2	Day of Vengeance (Infinite Crisis) (Countdown to Infinite Cr
1	DC COMICS GOES APE TP
1	DC MARVEL CROSSOVER CLASSICS VOL 4 TP
1	DC TOP COW CROSSOVER CLASSICS TP
